Date,KAMCHAY,LRCHRUM,ATAY,TATAY,KIRIROM1,KIRIROM3
1/1/2000,12.167661,21.652685,17.188765,13.437906,1.0042156,0.94128615
2/1/2000,12.056513,21.44985,17.02564,13.3028345,0.99187344,0.9326403
3/1/2000,11.670475,21.224749,16.856325,13.164278,0.97974473,0.9240223
4/1/2000,11.70868,21.03077,16.703253,13.041348,0.970181,0.91546106
5/1/2000,11.545614,20.873003,16.548002,12.910006,0.95972836,0.9069542
6/1/2000,11.498531,20.65383,16.407349,12.785777,0.9488426,0.8984954
7/1/2000,11.703818,20.559114,16.280807,12.682295,0.9381269,0.8900863
8/1/2000,11.72602,21.492626,17.089901,12.661821,0.92864525,0.8828016
9/1/2000,11.873325,22.433323,17.866808,12.6652775,0.93297553,0.87950754
10/1/2000,11.852366,22.283888,17.586964,13.066401,0.92098653,0.8908667
11/1/2000,11.837253,21.751959,17.175858,12.91753,0.91081744,0.87774855
12/1/2000,11.390868,21.19806,16.74016,12.626852,0.9004802,0.86783975
13/1/2000,10.807257,20.547161,16.273737,12.339336,0.88998556,0.8595722
14/1/2000,10.659348,20.194456,15.90707,12.180722,0.8809858,0.85551596
15/1/2000,10.750954,21.602737,17.04205,12.546276,0.87136656,0.84841835
16/1/2000,10.872328,23.583338,18.645355,12.881372,0.86228,0.84343493
17/1/2000,10.928437,26.943222,21.714436,13.858727,0.8538757,0.837857
18/1/2000,10.871688,32.113876,26.339617,14.9224615,0.84532434,0.83105177
19/1/2000,10.648202,32.445854,26.670334,14.6213045,0.8375761,0.82396495
20/1/2000,10.780034,31.487932,25.689768,14.011944,0.8303591,0.8206139
21/1/2000,14.537678,32.835407,26.435776,14.3495455,0.85992676,0.9165543
22/1/2000,14.235284,32.87542,26.159405,15.38831,0.9004502,0.862539
23/1/2000,13.296971,31.084948,24.8823,14.826273,0.8628551,0.82190603
24/1/2000,12.8909445,28.691305,22.969826,13.940203,0.8258512,0.809233
25/1/2000,11.577298,26.326595,21.07236,13.1381645,0.81139934,0.8007425
26/1/2000,10.679321,24.524078,19.453793,12.468506,0.8020764,0.79255456
27/1/2000,10.373471,25.666063,20.633373,12.686659,0.79630387,0.7850324
28/1/2000,8.93034,27.208693,22.392624,12.838323,0.7898975,0.7827719
29/1/2000,8.019323,26.380247,21.813313,12.401819,0.78223103,0.7762973
30/1/2000,8.069448,25.141306,20.787872,11.962042,0.77371883,0.7685783
31/1/2000,8.273004,23.86756,19.71669,11.571292,0.7651978,0.76091677
1/2/2000,8.1420765,22.703108,18.72888,11.355346,0.7568597,0.753388
2/2/2000,7.7941446,21.718714,17.830061,11.178373,0.7486983,0.74598515
3/2/2000,7.51286,20.78823,16.987051,11.004964,0.7407016,0.73870045
4/2/2000,7.9644146,20.029188,16.244991,10.89317,0.73285794,0.73152524
5/2/2000,8.226237,19.298676,15.563764,10.787529,0.7251568,0.7244521
